SSY,HLE,NLE,HMO,SSY-HLE,SSY-NLE,HLE-NLE,SSY-HMO,HLE-HMO,NLE-HMO,SSY-HLE-NLE,SSY-HLE-HMO,SSY-NLE-HMO,HLE-NLE-HMO,topology,simulated
3202127.6595623,3289847.4148811200,3202127.6595623,3786674.4063685900,0.0,87719.75494647520,0.0,0.0,0.0,0.0,496826.9915938570,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)",0
6876115.064867490,4914893.6170026,4914893.6170026,5079186.385087080,0.0,0.0,164292.76755256700,0.0,0.0,0.0,0.0,0.0,0.0,1796928.6808442400,"(((HLE,NLE),HMO),SSY)",0
3861702.1276449,4832371.773385890,3861702.1276449,4144188.121260850,0.0,282485.9938287140,0.0,0.0,0.0,0.0,0.0,0.0,688183.6523378100,0.0,"(((SSY,NLE),HMO),HLE)",0
4471631.2053021600,2808510.6382872,2808510.6382872,11119148.93612800,0.0,0.0,1663120.5670149600,0.0,0.0,0.0,6647517.730825800,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)",0
2010638.2978647,2010638.2978647,5648936.1701913,5648936.1701913,4062579.075516480,0.0,0.0,0.0,0.0,424281.203615409,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))",0
8015957.446778050,6379432.624443840,8142553.191458420,6379432.624443840,0.0,0.0,0.0,0.0,1636524.822334210,0.0,0.0,126595.74468037,0.0,0.0,"(((HLE,HMO),SSY),NLE)",0
5893617.0212542,3457446.8084975000,5893617.0212542,3457446.8084975000,0.0,382978.7234028,0.0,0.0,2819148.9361595,0.0,0.0,0.0,0.0,0.0,"((SSY,NLE),(HLE,HMO))",0
2595744.6808412,2595744.6808412,6534518.403166660,3117616.089349860,521871.4080831230,0.0,0.0,0.0,0.0,0.0,0.0,3416902.313816800,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
7617021.2765668,4468085.106366,4468085.106366,7617021.2765668,0.0,0.0,3283120.8797747600,134184.7094675750,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))",0
6510638.2978476,8167553.191458330,8529984.47762716,6510638.2978476,0.0,0.0,0.0,1656914.8936107300,0.0,0.0,0.0,362431.28616883600,0.0,0.0,"(((SSY,HMO),HLE),NLE)",0
3765957.4467942,3765957.4467942,6840425.5318889,7237395.902100160,3074468.0850947,0.0,0.0,0.0,0.0,0.0,396970.37063678900,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)",0
