num_leaves,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,coord_8,coord_9
"((0:5079186.385087082,(1:4914893.6170026,3:4914893.6170026):164292.76755256718):1796928.6808442357,2:6876115.064867488):0;",0.0,4914893.6170026,4914893.6170026,2.0,5079186.385087082,164292.76755256718,1.0,1796928.6808442357,6876115.064867488
"((0:4144188.121260848,(2:3861702.1276449,3:3861702.1276449):282485.9938287138):688183.6523378104,1:4832371.773385893):0;",0.0,3861702.1276449,3861702.1276449,0.0,4144188.121260848,282485.9938287138,2.0,688183.6523378104,4832371.773385893
"(0:11119148.936127959,((1:2808510.6382872,3:2808510.6382872):1663120.5670149568,2:4471631.2053021565):6647517.730825804):0;",0.0,2808510.6382872,2808510.6382872,1.0,1663120.5670149568,4471631.2053021565,1.0,11119148.936127959,6647517.730825804
"((0:5648936.1701913,3:5648936.1701913):424281.203615409,(1:2010638.2978647,2:2010638.2978647):4062579.075516477):0;",0.0,5648936.1701913,5648936.1701913,1.0,2010638.2978647,2010638.2978647,0.0,424281.203615409,4062579.075516477
"(((0:6379432.624443843,1:6379432.624443843):1636524.8223342067,2:8015957.446778051):126595.74468037001,3:8142553.191458421):0;",0.0,6379432.624443843,6379432.624443843,2.0,1636524.8223342067,8015957.446778051,4.0,126595.74468037001,8142553.191458421
"((0:3457446.8084974997,1:3457446.8084974997):2819148.9361595,(2:5893617.0212542,3:5893617.0212542):382978.72340280004):0;",0.0,5893617.0212542,5893617.0212542,2.0,3457446.8084974997,3457446.8084974997,2.0,2819148.9361595,382978.72340280004
"((0:3117616.089349855,(1:2595744.6808412,2:2595744.6808412):521871.40808312333):3416902.313816803,3:6534518.403166658):0;",0.0,2595744.6808412,2595744.6808412,1.0,3117616.089349855,521871.40808312333,4.0,3416902.313816803,6534518.403166658
"((0:7617021.2765668,2:7617021.2765668):134184.7094675752,(1:4468085.106366,3:4468085.106366):3283120.8797747586):0;",0.0,4468085.106366,4468085.106366,0.0,7617021.2765668,7617021.2765668,1.0,134184.7094675752,3283120.8797747586
"(((0:6510638.2978476,2:6510638.2978476):1656914.8936107252,1:8167553.191458326):362431.28616883553,3:8529984.47762716):0;",0.0,6510638.2978476,6510638.2978476,0.0,1656914.8936107252,8167553.191458326,4.0,362431.28616883553,8529984.47762716
"(0:7237395.902100158,((1:3765957.4467942,2:3765957.4467942):3074468.0850947,3:6840425.5318889):396970.37063678936):0;",0.0,3765957.4467942,3765957.4467942,1.0,3074468.0850947,6840425.5318889,3.0,7237395.902100158,396970.37063678936
"(((2:1914893.617014,3:1914893.617014):3382978.7233914,0:5297872.3404054):563829.7872319,1:5861702.127637301):0;",0.0,1914893.617014,1914893.617014,0.0,5297872.3404054,3382978.7233914,2.0,563829.7872319,5861702.127637301
"(0:6640478.791464128,(1:6606382.9786983,(2:5744680.851042001,3:5744680.851042001):861702.1276563):34095.81284029596):0;",0.0,5744680.851042001,5744680.851042001,1.0,6606382.9786983,861702.1276563,2.0,6640478.791464128,34095.81284029596
"(((0:2203679.790417158,1:2203679.790417158):3398548.1372211277,2:5602227.927638286):2083809.7340346347,3:7686037.661672921):0;",0.0,2203679.790417158,2203679.790417158,2.0,3398548.1372211277,5602227.927638286,4.0,2083809.7340346347,7686037.661672921
"(0:7242192.69997248,((1:5499999.9999791,2:5499999.9999791):794326.2411671943,3:6294326.241465443):947866.4588261853):0;",0.0,5499999.9999791,5499999.9999791,1.0,794326.2411671943,6294326.241465443,3.0,7242192.69997248,947866.4588261853
"(((0:5010638.297853299,1:5010638.297853299):296874.32116908464,3:5307512.619128768):257291.0784032776,2:5564803.697851194):0;",0.0,5010638.297853299,5010638.297853299,2.0,296874.32116908464,5307512.619128768,3.0,257291.0784032776,5564803.697851194
"(((0:6808510.6382720005,2:6808510.6382720005):1989361.7021201,3:8797872.3403921):640425.53191246,1:9438297.87230456):0;",0.0,6808510.6382720005,6808510.6382720005,0.0,1989361.7021201,8797872.3403921,3.0,640425.53191246,9438297.87230456
"(((0:3287234.0425406997,2:3287234.0425406997):542552.432019215,3:3829786.474453532):470212.1077641706,1:4299998.581898554):0;",0.0,3287234.0425406997,3287234.0425406997,0.0,542552.432019215,3829786.474453532,3.0,470212.1077641706,4299998.581898554
"((0:8244680.8510325,1:8244680.8510325):429787.23404092004,(2:5904255.319126501,3:5904255.319126501):2770212.76594692):0;",0.0,5904255.319126501,5904255.319126501,2.0,8244680.8510325,8244680.8510325,2.0,429787.23404092004,2770212.76594692
"((0:5177154.388278199,(1:4808510.6382796,2:4808510.6382796):368643.7494666843):1798611.6755250802,3:6975766.06380328):0;",0.0,4808510.6382796,4808510.6382796,1.0,5177154.388278199,368643.7494666843,4.0,1798611.6755250802,6975766.06380328
"(((1:7096047.147845376,2:7096047.147845376):571732.8939339976,0:7667780.0414602235):185955.8878716338,3:7853735.92975739):0;",0.0,7096047.147845376,7096047.147845376,1.0,7667780.0414602235,571732.8939339976,4.0,185955.8878716338,7853735.92975739
"(((2:5162112.278703788,3:5162112.278703788):554082.2864872562,0:5716194.564871895):2318463.214884807,1:8034657.7797567025):0;",0.0,5162112.278703788,5162112.278703788,0.0,5716194.564871895,554082.2864872562,2.0,2318463.214884807,8034657.7797567025
"(((0:4801418.439343457,2:4801418.439343457):590232.1547849912,3:5391650.594660363):1232308.1787187215,1:6623958.773379085):0;",0.0,4801418.439343457,4801418.439343457,0.0,590232.1547849912,5391650.594660363,3.0,1232308.1787187215,6623958.773379085
"((0:5390070.922319944,1:5390070.922319944):586524.8226573457,(2:5372340.4255115,3:5372340.4255115):604255.31914664):0;",0.0,5372340.4255115,5372340.4255115,2.0,5390070.922319944,5390070.922319944,2.0,586524.8226573457,604255.31914664
